X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni,Jumlah_Penduduk,Jumlah_RS,Jumlah_Poliklinik,Kasus_Isoman
96.9095227480001,4.22508189200005,1,11,Aceh,30077,22735,1320,5274871,67,346,6022
99.0578878490001,2.18477921500005,2,12,Sumatera Utara,89072,61164,2162,14799361,178,813,25746
100.46680503,-0.85191434799998,3,13,Sumatera Barat,84281,75321,1902,5534472,58,127,7058
101.812891954,0.510525849000032,4,14,Riau,119568,108071,3496,6394087,57,295,8001
103.59932,-1.61774999999994,5,15,Jambi,26929,22563,631,3548228,37,82,3735
104.170419445,-3.21334682199995,6,16,Sumatera Selatan,56525,49080,2758,8467432,70,181,4687
102.26312,-3.79115999999993,7,17,Bengkulu,21985,18710,394,2010670,20,53,2881
105.986948082,-2.25295641099996,8,19,Bangka Belitung,44381,38965,1107,1455678,22,36,4309
105.018313051,-4.91807308699993,9,18,Lampung,44704,36355,3283,9007848,62,360,5066
108.202228889,3.91594724100003,10,21,Kepulauan Riau,51315,47986,1572,2064564,26,64,1757
106.82649,-6.17147999999997,11,31,Jakarta Raya,845938,825029,13201,10562088,129,232,7708
107.602807898,-6.91998021599994,12,32,Jawa Barat,669103,606989,12540,48274162,289,1605,49574
110.201112529,-7.25897038299996,13,33,Jawa Tengah,462178,407294,27777,36516035,272,1121,27107
110.445366971,-7.89501381499997,14,34,Yogyakarta,144608,123181,4607,3668719,63,144,16820
112.733678801,-7.72011301899994,15,35,Jawa Timur,372388,325814,26862,40665696,319,1109,19712
106.109197069,-6.45618159899993,16,36,Banten,126907,118816,2567,11904562,93,474,5524
115.131650995,-8.36974326099994,17,51,Bali,102140,90183,3153,4317404,50,108,8804
117.506862452,-8.60665208399996,18,52,Nusa Tenggara Barat,24601,22561,679,5320092,34,76,1361
121.14182917,-8.60484333199997,19,53,Nusa Tenggara Timur,56686,50372,1111,5325566,50,105,5203
111.120762401,-0.085901233999948,20,61,Kalimantan Barat,33882,31323,828,5414390,37,88,1731
113.181047852,-1.63434004499993,21,62,Kalimantan Tengah,41890,35873,1248,2669969,24,89,4769
115.311307834,-2.44977913699995,22,63,Kalimantan Selatan,62926,50412,1993,4073584,35,123,10521
116.470858393,0.461046227000054,23,64,Kalimantan Timur,145711,131546,4846,3766039,38,151,9319
116.216718309,2.88882096100002,24,65,Kalimantan Utara,30074,23391,625,701814,11,17,6058
124.53537885,1.28609768700005,25,71,Sulawesi Utara,31093,26009,900,2621923,42,48,4184
120.4495925,-1.45921495399995,26,72,Sulawesi Tengah,39210,29479,1229,2985734,32,64,8504
120.161157704,-3.74711571199992,27,73,Sulawesi Selatan,101434,90247,1884,9073509,82,159,9303
122.078678056,-4.13280397099993,28,74,Sulawesi Tenggara,19175,16498,470,2624875,32,40,2207
123.06184,0.53707,29,75,Gorontalo,10814,9205,390,1171681,14,40,1219
119.343471383,-2.46190201499996,30,76,Sulawesi Barat,11126,99376,261,1419229,10,18,1489
129.360425,-3.12611934299997,31,81,Maluku,14212,12278,245,1848923,27,31,1689
128.015929442,0.869337001000019,32,82,Maluku Utara,11395,10260,288,1282937,23,11,847
140,-4.99999999999994,33,94,Papua,31288,18751,349,1134068,46,109,12118
132.968341712,-2.04172328199996,34,91,Papua Barat,21837,20751,335,4303707,16,28,751
